file_name,line_count
Modules/Asset/Resources/lang/zh-TW/email.php,4
Modules/Asset/Resources/lang/zh-TW/modules.php,7
Modules/Asset/Resources/views/asset-settings/create-asset-type-settings-modal.blade.php,53
Modules/Asset/Resources/views/asset-settings/edit-asset-type-settings-modal.blade.php,53
Modules/Asset/Resources/views/asset-settings/index.blade.php,80
Modules/Asset/Resources/views/asset-settings/type.blade.php,118
Modules/Asset/Resources/views/asset-type/create.blade.php,160
Modules/Asset/Resources/views/asset/ajax/create.blade.php,140
Modules/Asset/Resources/views/asset/ajax/edit.blade.php,152
Modules/Asset/Resources/views/asset/ajax/history-edit.blade.php,98
Modules/Asset/Resources/views/asset/ajax/history.blade.php,72
Modules/Asset/Resources/views/asset/ajax/lend.blade.php,88
Modules/Asset/Resources/views/asset/ajax/return.blade.php,102
Modules/Asset/Resources/views/asset/ajax/show.blade.php,130
Modules/Asset/Resources/views/asset/create.blade.php,32
Modules/Asset/Resources/views/asset/index.blade.php,224
Modules/Asset/Resources/views/sections/setting-sidebar.blade.php,4
Modules/Asset/Resources/views/sections/sidebar.blade.php,9
Modules/Asset/Routes/api.php,1
Modules/Asset/Routes/web.php,38
Modules/Asset/start.php,15
Modules/Biolinks/Config/config.php,13
Modules/Biolinks/Config/xss_ignore.php,5
Modules/Biolinks/Console/ActivateModuleCommand.php,39
Modules/Biolinks/DataTables/BiolinksDataTable.php,163
Modules/Biolinks/Database/Migrations/2024_02_17_090058_create_biolinks_global_settings_table.php,40
Modules/Biolinks/Database/Migrations/2024_03_01_062913_create_biolink_table.php,66
Modules/Biolinks/Database/Migrations/2024_03_05_060918_add_biolink_module_table.php,36
Modules/Biolinks/Database/Migrations/2024_03_12_063833_create_biolink_blocks_table.php,82
Modules/Biolinks/Database/Migrations/2024_03_28_113432_add_columns_to_biolink_blocks_table.php,60
Modules/Biolinks/Database/Seeders/BiolinksDatabaseSeeder.php,20
Modules/Biolinks/Database/factories/BiolinkFactory.php,31
Modules/Biolinks/Entities/Biolink.php,41
Modules/Biolinks/Entities/BiolinkBlocks.php,53
Modules/Biolinks/Entities/BiolinkSetting.php,45
Modules/Biolinks/Entities/BiolinksGlobalSetting.php,19
Modules/Biolinks/Enums/Alignment.php,22
Modules/Biolinks/Enums/Animation.php,23
Modules/Biolinks/Enums/AvatarSize.php,16
Modules/Biolinks/Enums/BlockHoverAnimation.php,21
Modules/Biolinks/Enums/BlockSpacing.php,21
Modules/Biolinks/Enums/BorderRadius.php,21
Modules/Biolinks/Enums/BorderStyle.php,23
Modules/Biolinks/Enums/Font.php,139
Modules/Biolinks/Enums/Heading.php,24
Modules/Biolinks/Enums/ObjectFit.php,21
Modules/Biolinks/Enums/PaypalType.php,21
Modules/Biolinks/Enums/SettingTab.php,29
Modules/Biolinks/Enums/Size.php,25
Modules/Biolinks/Enums/Status.php,30
Modules/Biolinks/Enums/Theme.php,23
Modules/Biolinks/Enums/VerifiedBadge.php,23
Modules/Biolinks/Enums/YesNo.php,21
Modules/Biolinks/Events/PhoneCollectionEmailEvent.php,27
Modules/Biolinks/Http/Controllers/BiolinkBlocksController.php,440
Modules/Biolinks/Http/Controllers/BiolinkPageController.php,150
Modules/Biolinks/Http/Controllers/BiolinkSettingsController.php,80
Modules/Biolinks/Http/Controllers/BiolinksController.php,160
Modules/Biolinks/Http/Requests/BiolinkPasswordRequest.php,26
Modules/Biolinks/Http/Requests/BiolinkSettingRequest.php,27
Modules/Biolinks/Http/Requests/CreateBiolinkRequest.php,26
Modules/Biolinks/Http/Requests/EmailCollectorRequest.php,38
Modules/Biolinks/Http/Requests/PhoneCollectorRequest.php,33
Modules/Biolinks/Http/Requests/StoreBiolinkBlocks.php,157
Modules/Biolinks/Http/Requests/UpdateBiolinkBlocks.php,196
Modules/Biolinks/Listeners/CompanyCreatedListener.php,20
Modules/Biolinks/Listeners/PhoneCollectionEmailListener.php,20
Modules/Biolinks/Notifications/PhoneCollectionEmail.php,59
Modules/Biolinks/Providers/BiolinksServiceProvider.php,135
Modules/Biolinks/Providers/EventServiceProvider.php,21
Modules/Biolinks/Providers/RouteServiceProvider.php,44
Modules/Biolinks/Resources/lang/ar/app.php,204
Modules/Biolinks/Resources/lang/ar/email.php,4
Modules/Biolinks/Resources/lang/ar/messages.php,12
Modules/Biolinks/Resources/lang/ar/modules.php,4
Modules/Biolinks/Resources/lang/ar/permissions.php,4
Modules/Biolinks/Resources/lang/ar/placeholders.php,4
Modules/Biolinks/Resources/lang/bg/app.php,204
Modules/Biolinks/Resources/lang/bg/email.php,4
Modules/Biolinks/Resources/lang/bg/messages.php,12
Modules/Biolinks/Resources/lang/bg/modules.php,4
Modules/Biolinks/Resources/lang/bg/permissions.php,4
Modules/Biolinks/Resources/lang/bg/placeholders.php,4
Modules/Biolinks/Resources/lang/de/app.php,204
Modules/Biolinks/Resources/lang/de/email.php,4
Modules/Biolinks/Resources/lang/de/messages.php,12
Modules/Biolinks/Resources/lang/de/modules.php,4
Modules/Biolinks/Resources/lang/de/permissions.php,4
Modules/Biolinks/Resources/lang/de/placeholders.php,4
Modules/Biolinks/Resources/lang/el/app.php,204
Modules/Biolinks/Resources/lang/el/email.php,4
Modules/Biolinks/Resources/lang/el/messages.php,12
Modules/Biolinks/Resources/lang/el/modules.php,4
Modules/Biolinks/Resources/lang/el/permissions.php,4
Modules/Biolinks/Resources/lang/el/placeholders.php,4
Modules/Biolinks/Resources/lang/en/app.php,205
Modules/Biolinks/Resources/lang/en/email.php,5
Modules/Biolinks/Resources/lang/en/messages.php,12
Modules/Biolinks/Resources/lang/en/modules.php,5
Modules/Biolinks/Resources/lang/en/permissions.php,5
Modules/Biolinks/Resources/lang/en/placeholders.php,5
Modules/Biolinks/Resources/lang/eng/app.php,205
Modules/Biolinks/Resources/lang/eng/email.php,5
Modules/Biolinks/Resources/lang/eng/messages.php,12
Modules/Biolinks/Resources/lang/eng/modules.php,5
Modules/Biolinks/Resources/lang/eng/permissions.php,5
Modules/Biolinks/Resources/lang/eng/placeholders.php,5
Modules/Biolinks/Resources/lang/es/app.php,204
Modules/Biolinks/Resources/lang/es/email.php,4
Modules/Biolinks/Resources/lang/es/messages.php,12
Modules/Biolinks/Resources/lang/es/modules.php,4
Modules/Biolinks/Resources/lang/es/permissions.php,4
Modules/Biolinks/Resources/lang/es/placeholders.php,4
Modules/Biolinks/Resources/lang/et/app.php,204
Modules/Biolinks/Resources/lang/et/email.php,4
Modules/Biolinks/Resources/lang/et/messages.php,12
Modules/Biolinks/Resources/lang/et/modules.php,4
Modules/Biolinks/Resources/lang/et/permissions.php,4
Modules/Biolinks/Resources/lang/et/placeholders.php,4
Modules/Biolinks/Resources/lang/fa/app.php,204
Modules/Biolinks/Resources/lang/fa/email.php,4
Modules/Biolinks/Resources/lang/fa/messages.php,12
Modules/Biolinks/Resources/lang/fa/modules.php,4
Modules/Biolinks/Resources/lang/fa/permissions.php,4
Modules/Biolinks/Resources/lang/fa/placeholders.php,4
Modules/Biolinks/Resources/lang/fr/app.php,204
Modules/Biolinks/Resources/lang/fr/email.php,4
Modules/Biolinks/Resources/lang/fr/messages.php,12
Modules/Biolinks/Resources/lang/fr/modules.php,4
Modules/Biolinks/Resources/lang/fr/permissions.php,4
Modules/Biolinks/Resources/lang/fr/placeholders.php,4
Modules/Biolinks/Resources/lang/hi/app.php,204
Modules/Biolinks/Resources/lang/hi/email.php,4
Modules/Biolinks/Resources/lang/hi/messages.php,12
Modules/Biolinks/Resources/lang/hi/modules.php,4
Modules/Biolinks/Resources/lang/hi/permissions.php,4
Modules/Biolinks/Resources/lang/hi/placeholders.php,4
Modules/Biolinks/Resources/lang/id/app.php,204
Modules/Biolinks/Resources/lang/id/email.php,4
Modules/Biolinks/Resources/lang/id/messages.php,12
Modules/Biolinks/Resources/lang/id/modules.php,4
Modules/Biolinks/Resources/lang/id/permissions.php,4
Modules/Biolinks/Resources/lang/id/placeholders.php,4
Modules/Biolinks/Resources/lang/it/app.php,204
Modules/Biolinks/Resources/lang/it/email.php,4
Modules/Biolinks/Resources/lang/it/messages.php,12
Modules/Biolinks/Resources/lang/it/modules.php,4
Modules/Biolinks/Resources/lang/it/permissions.php,4
Modules/Biolinks/Resources/lang/it/placeholders.php,4
Modules/Biolinks/Resources/lang/ja/app.php,204
Modules/Biolinks/Resources/lang/ja/email.php,4
Modules/Biolinks/Resources/lang/ja/messages.php,12
Modules/Biolinks/Resources/lang/ja/modules.php,4
Modules/Biolinks/Resources/lang/ja/permissions.php,4
Modules/Biolinks/Resources/lang/ja/placeholders.php,4
Modules/Biolinks/Resources/lang/ka/app.php,204
Modules/Biolinks/Resources/lang/ka/email.php,4
Modules/Biolinks/Resources/lang/ka/messages.php,12
Modules/Biolinks/Resources/lang/ka/modules.php,4
Modules/Biolinks/Resources/lang/ka/permissions.php,4
Modules/Biolinks/Resources/lang/ka/placeholders.php,4
Modules/Biolinks/Resources/lang/ko/app.php,204
Modules/Biolinks/Resources/lang/ko/email.php,4
Modules/Biolinks/Resources/lang/ko/messages.php,12
Modules/Biolinks/Resources/lang/ko/modules.php,4
Modules/Biolinks/Resources/lang/ko/permissions.php,4
Modules/Biolinks/Resources/lang/ko/placeholders.php,4
Modules/Biolinks/Resources/lang/nl/app.php,204
Modules/Biolinks/Resources/lang/nl/email.php,4
Modules/Biolinks/Resources/lang/nl/messages.php,12
Modules/Biolinks/Resources/lang/nl/modules.php,4
Modules/Biolinks/Resources/lang/nl/permissions.php,4
Modules/Biolinks/Resources/lang/nl/placeholders.php,4
Modules/Biolinks/Resources/lang/pl/app.php,204
Modules/Biolinks/Resources/lang/pl/email.php,4
Modules/Biolinks/Resources/lang/pl/messages.php,12
Modules/Biolinks/Resources/lang/pl/modules.php,4
Modules/Biolinks/Resources/lang/pl/permissions.php,4
Modules/Biolinks/Resources/lang/pl/placeholders.php,4
Modules/Biolinks/Resources/lang/pt-br/app.php,204
Modules/Biolinks/Resources/lang/pt-br/email.php,4
Modules/Biolinks/Resources/lang/pt-br/messages.php,12
Modules/Biolinks/Resources/lang/pt-br/modules.php,4
Modules/Biolinks/Resources/lang/pt-br/permissions.php,4
Modules/Biolinks/Resources/lang/pt-br/placeholders.php,4
Modules/Biolinks/Resources/lang/pt/app.php,204
Modules/Biolinks/Resources/lang/pt/email.php,4
Modules/Biolinks/Resources/lang/pt/messages.php,12
Modules/Biolinks/Resources/lang/pt/modules.php,4
Modules/Biolinks/Resources/lang/pt/permissions.php,4
Modules/Biolinks/Resources/lang/pt/placeholders.php,4
Modules/Biolinks/Resources/lang/ro/app.php,204
Modules/Biolinks/Resources/lang/ro/email.php,4
Modules/Biolinks/Resources/lang/ro/messages.php,12
Modules/Biolinks/Resources/lang/ro/modules.php,4
Modules/Biolinks/Resources/lang/ro/permissions.php,4
Modules/Biolinks/Resources/lang/ro/placeholders.php,4
Modules/Biolinks/Resources/lang/ru/app.php,204
Modules/Biolinks/Resources/lang/ru/email.php,4
Modules/Biolinks/Resources/lang/ru/messages.php,12
Modules/Biolinks/Resources/lang/ru/modules.php,4
Modules/Biolinks/Resources/lang/ru/permissions.php,4
Modules/Biolinks/Resources/lang/ru/placeholders.php,4
Modules/Biolinks/Resources/lang/sq/app.php,204
Modules/Biolinks/Resources/lang/sq/email.php,4
Modules/Biolinks/Resources/lang/sq/messages.php,12
Modules/Biolinks/Resources/lang/sq/modules.php,4
Modules/Biolinks/Resources/lang/sq/permissions.php,4
Modules/Biolinks/Resources/lang/sq/placeholders.php,4
Modules/Biolinks/Resources/lang/sr/app.php,204
Modules/Biolinks/Resources/lang/sr/email.php,4
Modules/Biolinks/Resources/lang/sr/messages.php,12
Modules/Biolinks/Resources/lang/sr/modules.php,4
Modules/Biolinks/Resources/lang/sr/permissions.php,4
Modules/Biolinks/Resources/lang/sr/placeholders.php,4
Modules/Biolinks/Resources/lang/th/app.php,204
Modules/Biolinks/Resources/lang/th/email.php,4
Modules/Biolinks/Resources/lang/th/messages.php,12
Modules/Biolinks/Resources/lang/th/modules.php,4
Modules/Biolinks/Resources/lang/th/permissions.php,4
Modules/Biolinks/Resources/lang/th/placeholders.php,4
Modules/Biolinks/Resources/lang/tr/app.php,204
Modules/Biolinks/Resources/lang/tr/email.php,4
Modules/Biolinks/Resources/lang/tr/messages.php,12
Modules/Biolinks/Resources/lang/tr/modules.php,4
Modules/Biolinks/Resources/lang/tr/permissions.php,4
Modules/Biolinks/Resources/lang/tr/placeholders.php,4
Modules/Biolinks/Resources/lang/vi/app.php,204
Modules/Biolinks/Resources/lang/vi/email.php,4
Modules/Biolinks/Resources/lang/vi/messages.php,12
Modules/Biolinks/Resources/lang/vi/modules.php,4
Modules/Biolinks/Resources/lang/vi/permissions.php,4
Modules/Biolinks/Resources/lang/vi/placeholders.php,4
Modules/Biolinks/Resources/lang/zh-CN/app.php,204
Modules/Biolinks/Resources/lang/zh-CN/email.php,4
Modules/Biolinks/Resources/lang/zh-CN/messages.php,12
Modules/Biolinks/Resources/lang/zh-CN/modules.php,4
