"Path","Files","Lines"
"app/DataTables/TimeLogProjectwiseReportDataTable.php","1","205"
"app/Http/Controllers/StorageSettingController.php","1","205"
"Modules/Purchase/Database/Migrations/2026_02_02_150000_setup_purchase_custom_fields_merged.php","1","203"
"app/DataTables/SuperAdmin/SuperAdminDataTable.php","1","203"
"app/Models/UserChat.php","1","202"
"config/session.php","1","201"
"app/Models/Leave.php","1","201"
"config/imap.php","1","201"
"Modules/Affiliate/Http/Controllers/AffiliateController.php","1","201"
"app/DataTables/ProjectTemplatesDataTable.php","1","199"
"Modules/Biometric/Http/Controllers/BiometricEmployeeController.php","1","199"
"app/Services/LanguageSettingsDuplicateMergeService.php","1","199"
"app/Console/Commands/AutoClockOut.php","1","199"
"app/Models/RecurringInvoice.php","1","198"
"Modules/Purchase/Observers/PurchaseVendorPaymentObserver.php","1","198"
"app/DataTables/ClientNotesDataTable.php","1","197"
"Modules/Webhooks/Providers/WebhooksServiceProvider.php","1","197"
"Modules/Biolinks/Http/Requests/UpdateBiolinkBlocks.php","1","196"
"app/Http/Controllers/SuperAdmin/StripeWebhookController.php","1","196"
"app/Exports/ProjectwiseTimeLogExport.php","1","196"
"Modules/Payroll/Http/Controllers/PayrollExpenseController.php","1","195"
"Modules/Payroll/Http/Controllers/OvertimeSettingController.php","1","195"
"app/Http/Controllers/ExpenseReportController.php","1","194"
"database/seeders/UsersTableSeeder.php","1","194"
"app/Http/Controllers/EmployeeDocumentExpiryController.php","1","194"
"Modules/Purchase/DataTables/VendorDataTable.php","1","193"
"app/Http/Controllers/TaskCommentController.php","1","192"
"app/DataTables/KnowledgeBaseDataTable.php","1","192"
"Modules/Warehouse/Services/StockReservationService.php","1","191"
"app/Actions/Fortify/RedirectIfTwoFactorAuthenticatable.php","1","191"
"app/Observers/ContractObserver.php","1","190"
"app/Http/Requests/PaymentGateway/UpdateGatewayCredentials.php","1","190"
"database/seeders/CoreSuperAdminDatabaseSeeder.php","1","189"
"app/Models/SuperAdmin/Package.php","1","189"
"app/Http/Controllers/LeaveTypeController.php","1","189"
"Modules/Purchase/DataTables/VendorPaymentDataTable.php","1","189"
"app/Http/Controllers/SuperAdmin/FrontSetting/FrontSettingController.php","1","189"
"Modules/Purchase/DataTables/VendorCreditDataTable.php","1","189"
"Modules/Payroll/Http/Controllers/SalaryGroupController.php","1","188"
"app/Http/Controllers/LeaveReportController.php","1","188"
"app/Imports/EstimateImport.php","1","188"
"Modules/Onboarding/Database/Migrations/2025_08_20_115952_improve_onboarding_structure.php","1","187"
"app/Observers/LeadFollowUpObserver.php","1","187"
"app/Http/Controllers/ClientContactController.php","1","186"
"app/DataTables/ExpenseReportDataTable.php","1","186"
"app/Console/Commands/UpdateExchangeRates.php","1","186"
"Modules/Performance/Database/Seeders/MeetingDataSeeder.php","1","186"
"app/Notifications/InvoiceUpdated.php","1","186"
"app/Notifications/NewInvoice.php","1","185"
"app/Http/Controllers/SuperAdmin/FrontSetting/ClientSettingController.php","1","185"
"app/DataTables/LeadPipelineDataTable.php","1","185"
"app/Http/Controllers/InvoiceSettingController.php","1","185"
